bibsysno	URL
004790626	https://www.flickr.com/photos/britishlibrary/50265473756
004790702	https://www.flickr.com/photos/britishlibrary/50264807928
004790708	https://www.flickr.com/photos/britishlibrary/50264806298
004790709	https://www.flickr.com/photos/britishlibrary/50265647147
004790710	https://www.flickr.com/photos/britishlibrary/50265464301
004790734	https://www.flickr.com/photos/britishlibrary/50265459276
004790736	https://www.flickr.com/photos/britishlibrary/50264800593
004790748	https://www.flickr.com/photos/britishlibrary/50265638352
004790749	https://www.flickr.com/photos/britishlibrary/50264808463
004790760	https://www.flickr.com/photos/britishlibrary/50265464666
004791232	https://www.flickr.com/photos/britishlibrary/50265988122
004791303	https://www.flickr.com/photos/britishlibrary/50263559877
004791368	https://www.flickr.com/photos/britishlibrary/50265841041
004791369	https://www.flickr.com/photos/britishlibrary/50265181038
004791371	https://www.flickr.com/photos/britishlibrary/50265839431
004791372	https://www.flickr.com/photos/britishlibrary/50266019492
004791386	https://www.flickr.com/photos/britishlibrary/50265838351
004791390	https://www.flickr.com/photos/britishlibrary/50265179948
004791391	https://www.flickr.com/photos/britishlibrary/50265838286
004791399	https://www.flickr.com/photos/britishlibrary/50265179843
004791405	https://www.flickr.com/photos/britishlibrary/50265838126
004791407	https://www.flickr.com/photos/britishlibrary/tags/sysnum004791407?sort=date-posted-desc
004791410	https://www.flickr.com/photos/britishlibrary/50265837371
004791439	https://www.flickr.com/photos/britishlibrary/50266016407
004791440	https://www.flickr.com/photos/britishlibrary/50265837171
004791442	https://www.flickr.com/photos/britishlibrary/50265178658
004791443	https://www.flickr.com/photos/britishlibrary/50266014662
004791445	https://www.flickr.com/photos/britishlibrary/50266014412
004791447	https://www.flickr.com/photos/britishlibrary/50265834736
004791448	https://www.flickr.com/photos/britishlibrary/50266015792
004791449	https://www.flickr.com/photos/britishlibrary/50265176318
004791450	https://www.flickr.com/photos/britishlibrary/50265832536
004791451	https://www.flickr.com/photos/britishlibrary/50265176443
004791452	https://www.flickr.com/photos/britishlibrary/50265833986
004791453	https://www.flickr.com/photos/britishlibrary/50266013137
004791455	https://www.flickr.com/photos/britishlibrary/50265833911
004791456	https://www.flickr.com/photos/britishlibrary/50265833791
004791457	https://www.flickr.com/photos/britishlibrary/50265837081
004791458	https://www.flickr.com/photos/britishlibrary/50265178753
004791459	https://www.flickr.com/photos/britishlibrary/50265836366
004791460	https://www.flickr.com/photos/britishlibrary/50266015727
004791461	https://www.flickr.com/photos/britishlibrary/50265835046
004791462	https://www.flickr.com/photos/britishlibrary/50265834871
004791464	https://www.flickr.com/photos/britishlibrary/50265837281
004791465	https://www.flickr.com/photos/britishlibrary/50265832776
004791466	https://www.flickr.com/photos/britishlibrary/50265174423
004791467	https://www.flickr.com/photos/britishlibrary/50265176528
004791470	https://www.flickr.com/photos/britishlibrary/50265836026
004791471	https://www.flickr.com/photos/britishlibrary/50266012997
004791472	https://www.flickr.com/photos/britishlibrary/50266012852
004791474	https://www.flickr.com/photos/britishlibrary/50265177948
004791475	https://www.flickr.com/photos/britishlibrary/50266015412
004791476	https://www.flickr.com/photos/britishlibrary/50265835291
004791483	https://www.flickr.com/photos/britishlibrary/50265174353
004791486	https://www.flickr.com/photos/britishlibrary/50265833621
004791490	https://www.flickr.com/photos/britishlibrary/50265175328
004791492	https://www.flickr.com/photos/britishlibrary/50266012522
004791494	https://www.flickr.com/photos/britishlibrary/50266011922
004791496	https://www.flickr.com/photos/britishlibrary/50265832441
004791497	https://www.flickr.com/photos/britishlibrary/50266011597
004791498	https://www.flickr.com/photos/britishlibrary/50265832321
004791563	https://www.flickr.com/photos/britishlibrary/50265562042
004791612	https://www.flickr.com/photos/britishlibrary/50265949862
004791627	https://www.flickr.com/photos/britishlibrary/50263734217
004791629	https://www.flickr.com/photos/britishlibrary/50263549086
004791632	https://www.flickr.com/photos/britishlibrary/50263733737
004791644	https://www.flickr.com/photos/britishlibrary/50263733552
004791646	https://www.flickr.com/photos/britishlibrary/50262889408
004791698	https://www.flickr.com/photos/britishlibrary/50263695011
004791699	https://www.flickr.com/photos/britishlibrary/50263861627
004791703	https://www.flickr.com/photos/britishlibrary/50263041073
004791705	https://www.flickr.com/photos/britishlibrary/50263696366
004791708	https://www.flickr.com/photos/britishlibrary/50265808617
004791709	https://www.flickr.com/photos/britishlibrary/50264967918
004791857	https://www.flickr.com/photos/britishlibrary/50264101051
004791922	https://www.flickr.com/photos/britishlibrary/50264957313
004791962	https://www.flickr.com/photos/britishlibrary/50263704511
004791968	https://www.flickr.com/photos/britishlibrary/50263929146
004791999	https://www.flickr.com/photos/britishlibrary/50263316211
004792003	https://www.flickr.com/photos/britishlibrary/50263328911
004792004	https://www.flickr.com/photos/britishlibrary/50263328806
004792040	https://www.flickr.com/photos/britishlibrary/50263261663
004792042	https://www.flickr.com/photos/britishlibrary/50264113932
004792043	https://www.flickr.com/photos/britishlibrary/50263917921
004792057	https://www.flickr.com/photos/britishlibrary/50263522252
004792096	https://www.flickr.com/photos/britishlibrary/50265732222
004792098	https://www.flickr.com/photos/britishlibrary/50265550816
004792099	https://www.flickr.com/photos/britishlibrary/50265732277
004792100	https://www.flickr.com/photos/britishlibrary/50265733017
004792155	https://www.flickr.com/photos/britishlibrary/50263525492
004792168	https://www.flickr.com/photos/britishlibrary/50262901673
004792177	https://www.flickr.com/photos/britishlibrary/50264422567
004792181	https://www.flickr.com/photos/britishlibrary/50263567908
004792182	https://www.flickr.com/photos/britishlibrary/50264406272
004792351	https://www.flickr.com/photos/britishlibrary/50265475066
004792356	https://www.flickr.com/photos/britishlibrary/50264818793
004792363	https://www.flickr.com/photos/britishlibrary/50265657747
004792386	https://www.flickr.com/photos/britishlibrary/50264835278
004792454	https://www.flickr.com/photos/britishlibrary/50263419726
004792490	https://www.flickr.com/photos/britishlibrary/50265211978
004792498	https://www.flickr.com/photos/britishlibrary/50265871316
004792500	https://www.flickr.com/photos/britishlibrary/50265212568
004792501	https://www.flickr.com/photos/britishlibrary/50265211558
004792502	https://www.flickr.com/photos/britishlibrary/50265212468
004792507	https://www.flickr.com/photos/britishlibrary/50265869891
004792513	https://www.flickr.com/photos/britishlibrary/50265215548
004792515	https://www.flickr.com/photos/britishlibrary/50265212108
004792556	https://www.flickr.com/photos/britishlibrary/50266048287
004792559	https://www.flickr.com/photos/britishlibrary/50265211063
